"","Region","year","mean","count","sd","se"
"78","All",1996,5.94823177384254,3032,2.52991428715402,0.0459453124370988
"79","All",1997,8.34515574311785,3032,2.27473166110613,0.0413109872578538
"80","All",1998,6.8029483327736,3032,1.39710798869322,0.0253726236397861
"81","All",1999,8.22825368323858,3032,2.6221103960739,0.0476196691737351
"82","All",2000,7.83337778422724,3032,2.20857860031096,0.0401095935733571
"83","All",2001,7.12579819245171,3032,2.42504301420655,0.0440407643558798
"84","All",2002,9.3172047539747,3032,2.2543656678707,0.0409411241652404
"85","All",2003,6.32363275624768,3032,2.24331032931388,0.0407403501759118
"86","All",2004,5.70013715220769,3032,2.09965381547147,0.0381314304011875
"87","All",2005,5.99094634863603,3032,2.05714721237519,0.0373594757267485
"88","All",2006,8.73231885205936,3032,2.42061741938795,0.0439603919346903
